orig,rowid,orig_id,point_x,point_y,region,site,site_note,accuracy,surface,altitude,source,note,chrono1,chrono2,chrono1_label,chrono2_label
b,C0001,NA,-687123,-1017048,JC,Bačalky-,NA,1,FALSE,360,Novák et al. 2018,NA,TRB,TRB Baalberg,TRB,TRB Baalberg
b,C0002,PD-JC-1300; ADC-15728,-655020,-1027000,JC,Bašnice-Potvrzník,"Ppč. 202, 212, 213, 215, 216",2,TRUE,272,BZO 1982-83; Sigl J. 1983: Zpravodaj KMVČ X/2,NA,TRB,NA,TRB,NA
b,C0003,PD-JC-1004,-655248,-1027404,JC,Bašnice-Potvrzník,NA,2,TRUE,264,"Vích,D. - Vokolek,V. 1997: Nálezy získané do sbírek AO MVČ v letech 1996-97,   Zpravodaj MVČ XXIII, 3-27",NA,SBK,NA,SBK,NA
b,C0004,P-1224-01250,-736587,-1030806,PH,Bašť-Nová Bašť,NA,2,NA,230,NA,NA,TRB,NA,TRB,NA
b,C0005,P-1224-01151,-727471,-1046164,A9,Běchovice-V panenkách,NA,2,TRUE,252,"BZO 1976-77, 117",NA,SBK,NA,SBK,NA
b,C0006,P-1224-01103; P-1224-01106,-729763,-1045159,A9,Běchovice-Nad vodárnou,NA,2,TRUE,238,AMČR,NA,TRB,TRB Boleraz/Saalzm,TRB,TRB Boleraz/Saalzmund
b,C0007,P-1224-01096,-728547,-1044771,A9,Běchovice-Za homolí,NA,2,TRUE,250,AMČR,NA,TRB,TRB Baalberg,TRB,TRB Baalberg
b,C0008,P-1224-01157; ADC-12745,-729591,-1045958,A9,Běchovice-pískovna,NA,2,FALSE,237,"BZO 1968, 13; 1972: BZO 1969, 9; 1975: BZO 1971, 8; 1975: BZO 1972, 10; Beneš A., Vencl S. 1969: Archeologické rozhledy 21, 460-484, 576; Vencl S. 1970: Archeologické rozhledy 22, 139-147; Vencl S. 1972: Archeologické rozhledy 24, 489-513; Vencl S. 1973: Památky archeologické 64, 340-392; Vencl S., Hrdlička L. 1976: Archeologické rozhledy 28, 323-329; Venclová N. 1975: Archeologické rozhledy 27, 400-428; Zadák J., Vencl S. 1973: BZO 1970, 212-246",NA,TRB,NA,TRB,NA
b,C0009,SM-10006,-680859,-993079,SM,Bělá u Turnova-Dvojitá brána,Rohlinsko,1,FALSE,370,Doležel 2012,NA,TRB,NA,TRB,NA
b,C0010,HK-1006; P-1322-00001; P-1322-00043,-646662,-1029230,HK,Benátky-Na Trubačce,"Na ohradách, i k.ú. Želkovice-Na kozách",1,FALSE,280,"Kalferst, Zápotocký 1991",NA,SBK,SBK Late,SBK,SBK Late
b,C0010,HK-1006; P-1322-00001; P-1322-00043,-646662,-1029230,HK,Benátky-Na Trubačce,"Na ohradách, i k.ú. Želkovice-Na kozách",1,FALSE,280,"Kalferst, Zápotocký 1991",NA,TRB,TRB Baalberg,TRB,TRB Baalberg
b,C0011,ADC-15929; P-1322-00040,-647486,-1031116,HK,Benátky-,NA,2,TRUE,266,"Kalferst,J.-Sigl,J. 1985: Archeologické nálezy v roce 1984, ZKMVČ Hradec Králové   12/1, 5; Urban J., Vávra M.: BZO 1984-85, 11.",NA,SBK,NA,SBK,NA
b,C0012,N,-646715,-1029692,HK,Benátky-Na oborách,NA,2,FALSE,266,"archiv M. Zápotocké, Kutná Hora",BI,SBK,SBK Late,SBK,SBK Late
b,C0013,P-1322-00044,-647512,-1031514,HK,Benátky-Za Březinou,NA,2,TRUE,272,"BZO 1990-92; Kalferst J., Sigl J., Vokolek V. 1992: Zpravodaj KMVČ XVIII, 7",NA,SBK,NA,SBK,NA
b,C0014,P-1322-00153,-646417,-1030773,HK,Benátky-Na předních stáních,NA,2,TRUE,270,"Boček J. 1989: BZO 1986-87, 13",NA,SBK,NA,SBK,NA
b,C0015,NA,-655596,-1022486,JC,Bílskou u Hořic-,Ppč. 280/6,3,NA,298,AMČR,NA,SBK,NA,SBK,NA
b,C0016,NA,-648299.47,-1066299.06,PA,Blato-K Mikulovicím,i k.ú. Mikulovice u P.,2,NA,256,NA,NA,LgK,LgK II,LgK,LgK II
b,C0017,NA,-741605,-1037768,A,Bohnice-U Šípků,Psychiatrická nemocnice,2,FALSE,294,Dobeš 2014,NA,TRB,TRB Baalberg,TRB,TRB Baalberg
b,C0018,AA1171,-743250,-1037756,A,Bohnice-sídliště,Hackerova ul.,2,FALSE,276,Dufek 2019; BZO 1972,NA,SBK,NA,SBK,NA
b,C0018,AA1171,-743250,-1037756,A,Bohnice-sídliště,Hackerova ul.,2,FALSE,276,Dufek 2019; BZO 1972,NA,LgK,NA,LgK,NA
b,C0018,AA1171,-743250,-1037756,A,Bohnice-sídliště,Hackerova ul.,2,FALSE,276,Dufek 2019; BZO 1972,NA,ENE,NA,Early Ene.,NA
b,C0019,NA,-743212,-1036421,A,Bohnice-Zámka,NA,2,FALSE,251,Dufek 2019; Moucha 1970,NA,LgK,LgK II,LgK,LgK II
b,C0019,NA,-743212,-1036421,A,Bohnice-Zámka,NA,2,FALSE,251,Dufek 2019; Moucha 1970,NA,TRB,TRB Baalberg,TRB,TRB Baalberg
b,C0020,ADC-15236,-723259,-1034910,PH,Brandýs nad Labem-Královice,NA,2,NA,178,AMČR,NA,TRB,NA,TRB,NA
b,C0021,ADC-11394,-725785,-1035289,PH,Brandýs nad Labem-cihelna p. Kejmara,NA,2,NA,216,AMČR,NA,TRB,NA,TRB,NA
b,C0021,ADC-11394,-725785,-1035289,PH,Brandýs nad Labem-cihelna p. Kejmara,NA,2,NA,216,AMČR,NA,ENE,ENE Proto,Early Ene.,Proto Ene.
b,C0022,P-1224-01296,-725505,-1034924,PH,Brandýs nad Labem-Hrušov,NA,2,FALSE,200,BZO 2007,NA,TRB,NA,TRB,NA
b,C0023,ADC-10899,-724658,-1034079,PH,Brandýs nad Labem-mezi hřbitovy,NA,1,TRUE,180,"BZO 1996-7, 291",NA,SBK,NA,SBK,NA
b,C0024,NA,-725053,-1035509,PH,Brandýs nad Labem-Sněženková ul.,NA,2,FALSE,214,Lutovský a kol. 2011,NA,TRB,NA,TRB,NA
b,C0025,P-1224-01415,-725594,-1035593,PH,Brandýs nad Labem-U vodojemu,NA,2,FALSE,220,BZO 2008,NA,TRB,NA,TRB,NA
b,C0026,P-1313-01140,-723774,-1035385,PH,Brandýs nad Labem-Zápská,NA,2,FALSE,208,Lutovský a kol. 2010,NA,ENE,ENE Proto,Early Ene.,Proto Ene.
b,C0029,AN – 1023,-729215,-1032936,PH,Brázdim-Veliký Brádim,NA,3,NA,204,"921: PA 33, 328; 1921: PA 33, 238; Bouzek J. 1963: SbNM 17 A, 97, pozn. 4; Buchvaldek M. 1967: Schnurkeramik; Ehrich R., Pleslová E. 1968: Homolka, 201; Filip J. 1956: Keltové ve střední Evropě, Praha; Stocký A. 1926: Pravěk, 172; Stocký A. 1921: PA XXIII,1920-1921, 238",NA,TRB,NA,TRB,NA
b,C0030,N,-707817,-1021444,MB,Brodce nad Jizerou-,NA,3,NA,200,"archiv M. Zápotocké, Kutná Hora. Uvádí č. Kat. 928, patrně se jedná o číslo parcely, č. Katastru neodpovídá. NZ č.j. 3469/55",NA,SBK,NA,SBK,NA
b,C0031,P-1224-01586,-737110,-1035254,A8,Březiněves-Na Hlavní,NA,2,FALSE,254,AMČR,NA,TRB,NA,TRB,NA
b,C0032,P-0334-00270,-696198,-1013974,MB,Březno u Mladé Boleslavi-Pod vinicí,NA,2,TRUE,236,BZO 2002,NA,SBK,NA,SBK,NA
b,C0033,PD-JC-1019,-650837,-1024125,JC,Březovice-,"ppč. 140, 143, 145",2,FALSE,306,AMČR,NA,SBK,NA,SBK,NA
