id,orig_id,region,site,site_note,note,in_analysis
B0001,NA,JC,Bačalky-,NA,NA,TRUE
B0002,PD-JC-1300; ADC-15728,JC,Bašnice-Potvrzník,"Ppč. 202, 212, 213, 215, 216",NA,TRUE
B0003,PD-JC-1004,JC,Bašnice-Potvrzník,NA,NA,TRUE
B0004,P-1224-01250,PH,Bašť-Nová Bašť,NA,NA,TRUE
B0005,P-1224-01151,A9,Běchovice-V panenkách,NA,NA,TRUE
B0006,P-1224-01103; P-1224-01106,A9,Běchovice-Nad vodárnou,NA,NA,TRUE
B0007,P-1224-01096,A9,Běchovice-Za homolí,NA,NA,TRUE
B0008,P-1224-01157; ADC-12745,A9,Běchovice-pískovna,NA,NA,TRUE
B0009,SM-10006,SM,Bělá u Turnova-Dvojitá brána,Rohlinsko,NA,TRUE
B0010,HK-1006; P-1322-00001; P-1322-00043,HK,Benátky-Na Trubačce,"Na ohradách, i k.ú. Želkovice-Na kozách",NA,TRUE
B0011,ADC-15929; P-1322-00040,HK,Benátky-,NA,NA,TRUE
B0012,NA,HK,Benátky-Na oborách,NA,BI,TRUE
B0013,P-1322-00044,HK,Benátky-Za Březinou,NA,NA,TRUE
B0014,P-1322-00153,HK,Benátky-Na předních stáních,NA,NA,TRUE
B0015,NA,JC,Bílskou u Hořic-,Ppč. 280/6,NA,TRUE
B0016,NA,PA,Blato-K Mikulovicím,i k.ú. Mikulovice u P.,NA,TRUE
B0017,NA,A,Bohnice-U Šípků,Psychiatrická nemocnice,NA,TRUE
B0018,AA1171,A,Bohnice-sídliště,Hackerova ul.,NA,TRUE
B0019,NA,A,Bohnice-Zámka,NA,NA,TRUE
B0020,ADC-15236,PH,Brandýs nad Labem-Královice,NA,NA,TRUE
B0021,ADC-11394,PH,Brandýs nad Labem-cihelna p. Kejmara,NA,NA,TRUE
B0022,P-1224-01296,PH,Brandýs nad Labem-Hrušov,NA,NA,TRUE
B0023,ADC-10899,PH,Brandýs nad Labem-mezi hřbitovy,NA,NA,TRUE
B0024,NA,PH,Brandýs nad Labem-Sněženková ul.,NA,NA,TRUE
B0025,P-1224-01415,PH,Brandýs nad Labem-U vodojemu,NA,NA,TRUE
B0026,P-1313-01140,PH,Brandýs nad Labem-Zápská,NA,NA,TRUE
B0029,AN – 1023,PH,Brázdim-Veliký Brádim,NA,NA,TRUE
B0030,NA,MB,Brodce nad Jizerou-,NA,NA,TRUE
B0031,P-1224-01586,A8,Březiněves-Na Hlavní,NA,NA,TRUE
B0032,P-0334-00270,MB,Březno u Mladé Boleslavi-Pod vinicí,NA,NA,TRUE
B0033,PD-JC-1019,JC,Březovice-,"ppč. 140, 143, 145",NA,TRUE
B0034,PD-JC-1021,JC,Březovice-Mezi řekami,"Parc.č. 156, 178/1,3, 180/1; i k.ú. Chvalina",NA,TRUE
B0035,ADC-15497,KL,Břežany II-Na statku,NA,NA,TRUE
B0036,PD-JC-1024,JC,Bříšťany-Na Parkáně,NA,NA,TRUE
B0037,PD-JC-1023,JC,Bříšťany-,NA,NA,TRUE
B0038,P-0334-00093,JC,Bukvice-východní okraj obce,NA,NA,TRUE
B0039,ADC-15524,KL,Bylany u Českého Brodu-Klečky,NA,lokalizace uváděná Vávrou a ni v ADČ neodpovídají popisovaným nálezovým okolnostem ani traťovému názvu,TRUE
B0040,ADC-30109,KL,Bylany u Českého Brodu-Okrouhlík,NA,NA,TRUE
B0041,NA,KH,Bylany u Kutné Hory-1,Vykopávky,NA,TRUE
B0042,NA,KH,Bylany u Kutné Hory-2,Pod hospodou,NA,TRUE
B0043,NA,KH,Bylany u Kutné Hory-3,U svatého Vojtěcha; Mezi polohou Na obci a Přítokami,NA,TRUE
B0044,NA,KH,Bylany u Kutné Hory-4,Vysocháj,NA,TRUE
B0045,NA,KH,Bylany u Kutné Hory-5,"Familky, Na hliništi",NA,TRUE
