id,chrono,label,facet
B0001,TRB1,TRB Baalberge,TRB Baalberge
B0006,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
B0007,TRB1,TRB Baalberge,TRB Baalberge
B0010,SBK2,SBK Late,SBK Late/LgK I
B0010,TRB1,TRB Baalberge,TRB Baalberge
B0012,SBK2,SBK Late,SBK Late/LgK I
B0016,LgK2,LgK II,LgK II
B0017,TRB1,TRB Baalberge,TRB Baalberge
B0019,LgK2,LgK II,LgK II
B0019,TRB1,TRB Baalberge,TRB Baalberge
B0021,ENE0,Jordanow,Proto Ene.
B0026,ENE0,Jordanow,Proto Ene.
B0040,SBK2,SBK Late,SBK Late/LgK I
B0041,SBK2,SBK Late,SBK Late/LgK I
B0041,LgK2,LgK II,LgK II
B0043,TRB1,TRB Baalberge,TRB Baalberge
B0044,SBK2,SBK Late,SBK Late/LgK I
B0045,SBK2,SBK Late,SBK Late/LgK I
B0046,LgK2,LgK II,LgK II
B0046,ENE0,Jordanow,Proto Ene.
B0046,TRB1,TRB Baalberge,TRB Baalberge
B0054,TRB1,TRB Baalberge,TRB Baalberge
B0055,ENE0,Jordanow,Proto Ene.
B0063,SBK2,SBK Late,SBK Late/LgK I
B0064,LgK2,LgK II,LgK II
B0067,SBK1,SBK Early,SBK Early
B0067,LgK2,LgK II,LgK II
B0067,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
B0068,LgK2,LgK II,LgK II
B0068,TRB1,TRB Baalberge,TRB Baalberge
B0068,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
B0071,LgK2,LgK II,LgK II
B0073,SBK2,SBK Late,SBK Late/LgK I
B0073,ENE0,Jordanow,Proto Ene.
B0076,SBK2,SBK Late,SBK Late/LgK I
B0077,SBK2,SBK Late,SBK Late/LgK I
B0078,SBK2,SBK Late,SBK Late/LgK I
B0081,ENE0,Jordanow,Proto Ene.
B0086,SBK1,SBK Early,SBK Early
B0088,ENE0,Jordanow,Proto Ene.
B0092,SBK1,SBK Early,SBK Early
B0092,SBK2,SBK Late,SBK Late/LgK I
B0093,SBK1,SBK Early,SBK Early
B0093,TRB1,TRB Baalberge,TRB Baalberge
B0093,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
B0094,SBK1,SBK Early,SBK Early
B0098,SBK1,SBK Early,SBK Early
B0101,LgK2,LgK II,LgK II
B0102,ENE0,Jordanow,Proto Ene.
B0103,SBK2,SBK Late,SBK Late/LgK I
B0106,SBK2,SBK Late,SBK Late/LgK I
B0109,SBK2,SBK Late,SBK Late/LgK I
B0114,ENE0,Jordanow,Proto Ene.
B0117,SBK2,SBK Late,SBK Late/LgK I
B0118,LgK2,LgK II,LgK II
B0120,LgK2,LgK II,LgK II
B0121,SBK2,SBK Late,SBK Late/LgK I
B0124,TRB1,TRB Baalberge,TRB Baalberge
B0125,TRB1,TRB Baalberge,TRB Baalberge
B0125,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
B0126,ENE0,Jordanow,Proto Ene.
B0126,TRB1,TRB Baalberge,TRB Baalberge
B0127,ENE0,Jordanow,Proto Ene.
B0127,TRB1,TRB Baalberge,TRB Baalberge
B0127,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
B0131,SBK1,SBK Early,SBK Early
B0131,ENE0,Jordanow,Proto Ene.
B0134,ENE0,Jordanow,Proto Ene.
B0142,SBK1,SBK Early,SBK Early
B0143,LgK2,LgK II,LgK II
B0144,SBK2,SBK Late,SBK Late/LgK I
B0145,SBK2,SBK Late,SBK Late/LgK I
B0146,SBK2,SBK Late,SBK Late/LgK I
B0157,SBK1,SBK Early,SBK Early
B0159,SBK2,SBK Late,SBK Late/LgK I
B0159,LgK2,LgK II,LgK II
B0162,SBK2,SBK Late,SBK Late/LgK I
B0164,SBK2,SBK Late,SBK Late/LgK I
B0165,ENE0,Jordanow,Proto Ene.
B0167,SBK1,SBK Early,SBK Early
B0167,SBK2,SBK Late,SBK Late/LgK I
B0167,ENE0,Jordanow,Proto Ene.
B0168,SBK2,SBK Late,SBK Late/LgK I
B0169,TRB1,TRB Baalberge,TRB Baalberge
B0171,SBK2,SBK Late,SBK Late/LgK I
B0173,SBK2,SBK Late,SBK Late/LgK I
B0174,SBK2,SBK Late,SBK Late/LgK I
B0177,SBK1,SBK Early,SBK Early
B0178,TRB1,TRB Baalberge,TRB Baalberge
B0180,LgK2,LgK II,LgK II
B0181,ENE0,Jordanow,Proto Ene.
B0182,SBK2,SBK Late,SBK Late/LgK I
B0182,TRB1,TRB Baalberge,TRB Baalberge
B0184,LgK2,LgK II,LgK II
B0186,ENE0,Jordanow,Proto Ene.
B0187,SBK2,SBK Late,SBK Late/LgK I
B0188,SBK2,SBK Late,SBK Late/LgK I
B0189,LgK2,LgK II,LgK II
B0189,TRB1,TRB Baalberge,TRB Baalberge
B0190,SBK2,SBK Late,SBK Late/LgK I
B0191,SBK1,SBK Early,SBK Early
B0191,SBK2,SBK Late,SBK Late/LgK I
B0192,LgK2,LgK II,LgK II
B0193,SBK2,SBK Late,SBK Late/LgK I
B0193,LgK2,LgK II,LgK II
B0193,TRB1,TRB Baalberge,TRB Baalberge
B0194,SBK2,SBK Late,SBK Late/LgK I
B0195,SBK1,SBK Early,SBK Early
B0195,SBK2,SBK Late,SBK Late/LgK I
B0196,SBK2,SBK Late,SBK Late/LgK I
B0197,TRB1,TRB Baalberge,TRB Baalberge
B0200,SBK2,SBK Late,SBK Late/LgK I
B0201,SBK1,SBK Early,SBK Early
B0201,SBK2,SBK Late,SBK Late/LgK I
B0201,ENE0,Jordanow,Proto Ene.
B0202,SBK2,SBK Late,SBK Late/LgK I
B0204,LgK2,LgK II,LgK II
B0204,ENE0,Jordanow,Proto Ene.
B0204,TRB1,TRB Baalberge,TRB Baalberge
B0206,ENE0,Jordanow,Proto Ene.
B0208,SBK2,SBK Late,SBK Late/LgK I
B0214,SBK1,SBK Early,SBK Early
B0217,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
B0218,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
B0221,ENE0,Jordanow,Proto Ene.
B0222,LgK2,LgK II,LgK II
B0223,ENE0,Jordanow,Proto Ene.
B0224,ENE0,Jordanow,Proto Ene.
B0226,SBK1,SBK Early,SBK Early
B0226,SBK2,SBK Late,SBK Late/LgK I
B0227,SBK1,SBK Early,SBK Early
B0227,SBK2,SBK Late,SBK Late/LgK I
B0228,SBK2,SBK Late,SBK Late/LgK I
B0229,SBK2,SBK Late,SBK Late/LgK I
B0229,LgK2,LgK II,LgK II
B0229,ENE0,Jordanow,Proto Ene.
B0230,SBK2,SBK Late,SBK Late/LgK I
B0230,ENE0,Jordanow,Proto Ene.
B0232,SBK2,SBK Late,SBK Late/LgK I
B0238,TRB1,TRB Baalberge,TRB Baalberge
B0240,ENE0,Jordanow,Proto Ene.
B0241,LgK2,LgK II,LgK II
B0241,ENE0,Jordanow,Proto Ene.
B0242,SBK2,SBK Late,SBK Late/LgK I
B0244,SBK2,SBK Late,SBK Late/LgK I
B0244,ENE0,Jordanow,Proto Ene.
B0248,SBK2,SBK Late,SBK Late/LgK I
B0249,SBK1,SBK Early,SBK Early
B0249,SBK2,SBK Late,SBK Late/LgK I
B0249,ENE0,Jordanow,Proto Ene.
B0249,TRB1,TRB Baalberge,TRB Baalberge
B0255,ENE0,Jordanow,Proto Ene.
B0256,ENE0,Jordanow,Proto Ene.
B0259,SBK1,SBK Early,SBK Early
B0262,SBK1,SBK Early,SBK Early
B0263,SBK2,SBK Late,SBK Late/LgK I
B0265,TRB1,TRB Baalberge,TRB Baalberge
B0265,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
B0268,TRB2,TRB Boleraz/Saalzmuende,TRB Boleraz/Saalzmuende
B0279,ENE0,Jordanow,Proto Ene.
B0281,SBK1,SBK Early,SBK Early
B0283,SBK1,SBK Early,SBK Early
