id,reference
B0173,-JT-1120
B0504,-JT-1149
B0352,-JT-1156
B0149,-JT-1209
B0148,-JT-1210
B0148,-JT-1211
B0162,-JT-1213
B0202,-JT-1261
B0174,-JT-5085
B0148,-JT-5138
B0201,-JT-5144
B0104,-JT-7058
B0558,-JT-7063
B0172,-JT-7066
B0172,-JT-7067
B0357,-JT-7070
B0502,-JT-7083
B0503,-JT-7083
B0149,-JT-7095
B0148,-JT-7096
B0470,-JT-7101
B0069,-JT-7207
B0069,-JT-7208
B0069,-JT-7209
B0069,-JT-7300
B0070,-JT-7303
B0070,-JT-7304
B0201,-JT-7305
B0201,-JT-7306
B0201,-JT-7307
B0201,-JT-7308
B0498,AA1023
B0343,AA1070
B0114,AA1185
B0287,AA1211
B0291,AA1217
B0290,AA1225
B0135,AA1245
B0224,AA1479
B0216,AA1496
B0544,AA1500
B0166,AA7004
B0583,AA7006
M0272,"Achter, D. 2015: KG Ebendorf. Fundberichte aus Österreich 54, 189-190."
M0956,"Adámek, F. 1940: Příspěvek k archeologickému výzkumu neolitické stanice na Holém kopci u Brna. Příroda XXXIII, 298-305."
M0958,"Adámek, F. undated: Obřany. Excavation report č.j. 1262/10. Institute of Archaeology of the CAS Brno."
B0150,ADC-06767
B0048,ADC-06769
B0122,ADC-09830
B0295,ADC-09862
B0355,ADC-09871
B0604,ADC-10046
B0605,ADC-10049
B0606,ADC-10050
B0211,ADC-10093
B0238,ADC-10106
B0237,ADC-10114
B0239,ADC-10147
B0125,ADC-11001
B0206,ADC-11228
B0204,ADC-11236
B0205,ADC-11251
B0205,ADC-11261
B0118,ADC-11316
B0120,ADC-11332
B0121,ADC-11360
B0021,ADC-11394
B0127,ADC-11612
B0127,ADC-11628
B0127,ADC-11632
B0060,ADC-11693
B0217,ADC-11713
B0215,ADC-11717
B0217,ADC-11718
B0215,ADC-11721
B0215,ADC-11725
B0215,ADC-11730
B0563,ADC-11760
B0563,ADC-11769
B0563,ADC-11773
B0567,ADC-11773
B0564,ADC-11789
B0446,ADC-11806
B0206,ADC-12161
B0204,ADC-12163
B0120,ADC-12166
B0007,ADC-12745
B0153,ADC-14538
B0463,ADC-14633
B0384,ADC-14781
B0384,ADC-14782
B0047,ADC-15172
B0020,ADC-15236
B0596,ADC-15306
B0598,ADC-15335
B0597,ADC-15350
B0278,ADC-15388
B0278,ADC-15389
B0344,ADC-15452
B0515,ADC-15491
B0035,ADC-15497
B0348,ADC-15505
B0084,ADC-15516
B0417,ADC-15534
B0160,ADC-15535
B0521,ADC-15536
B0580,ADC-15547
B0444,ADC-15696
B0550,ADC-15703
B0362,ADC-15705
B0361,ADC-15706
B0002,ADC-15728
B0332,ADC-15744
B0069,ADC-15774
B0470,ADC-15790
B0469,ADC-15791
B0469,ADC-15792
B0202,ADC-15796
B0077,ADC-15841
B0430,ADC-15872
B0426,ADC-15875
B0309,ADC-15877
B0309,ADC-15877
B0426,ADC-15880
B0076,ADC-15889
B0076,ADC-15889
B0162,ADC-15890
B0105,ADC-15892
B0091,ADC-15925
B0011,ADC-15929
B0311,ADC-15932
B0296,ADC-15994
B0106,ADC-16026
B0534,ADC-16114
B0261,ADC-16123
B0246,ADC-16148
B0243,ADC-16151
B0607,ADC-16214
B0410,ADC-16216
B0448,ADC-16223
B0133,ADC-16245
B0467,ADC-16396
B0449,ADC-16469
B0449,ADC-16470
B0511,ADC-16473
B0510,ADC-16474
B0230,ADC-16476
B0083,ADC-16480
B0081,ADC-16488
B0229,ADC-16501
B0353,ADC-16503
B0353,ADC-16508
B0101,ADC-16511
B0100,ADC-16512
B0159,ADC-16518
B0538,ADC-16983
B0195,ADC-17157
B0193,ADC-17178
B0191,ADC-17198
B0191,ADC-17202
B0536,ADC-17236
B0456,ADC-17390
B0456,ADC-17391
B0455,ADC-17393
B0184,ADC-17420
B0040,ADC-30109
B0093,ADC-30175
B0192,ADC-30431
B0112,ADC-31095
B0512,ADC-31378
B0515,ADC-31395
B0555,ADC-31501
M0030,Adler 1976
M0033,"Adler, H. 1992: KG Bernhardsthal. Fundberichte aus Österreich 31, 389"
M0318,"Adler, H. Kienzl, A. 1988: KG Prinzendorf. Fundberichte aus Österreich 27, 266"
B0335,AMČR: Záznam P-0333-000016 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0333-000016.
B0335,AMČR: Záznam P-0333-000024 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0333-000024.
B0337,AMČR: Záznam P-0333-000044 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0333-000044.
B0236,AMČR: Záznam P-0333-000082 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0333-000082.
B0334,AMČR: Záznam P-0333-000122 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0333-000122.
B0038,AMČR: Záznam P-0334-000093 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0334-000093.
B0093,AMČR: Záznam P-0334-000137 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0334-000137.
B0551,AMČR: Záznam P-0334-000152 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0334-000152.
B0486,AMČR: Záznam P-0334-000198 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0334-000198.
