id,site,accuracy,surface,altitude,X,Y
B0001,Bačalky-,1,FALSE,360,-687123,-1017048
B0002,Bašnice-Potvrzník,2,TRUE,272,-655020,-1027000
B0003,Bašnice-Potvrzník,2,TRUE,264,-655248,-1027404
B0004,Bašť-Nová Bašť,2,NA,230,-736587,-1030806
B0005,Běchovice-V panenkách,2,TRUE,252,-727471,-1046164
B0006,Běchovice-Nad vodárnou,2,TRUE,238,-729763,-1045159
B0007,Běchovice-Za homolí,2,TRUE,250,-728547,-1044771
B0008,Běchovice-pískovna,2,FALSE,237,-729591,-1045958
B0009,Bělá u Turnova-Dvojitá brána,1,FALSE,370,-680859,-993079
B0010,Benátky-Na Trubačce,1,FALSE,280,-646662,-1029230
B0011,Benátky-,2,TRUE,266,-647486,-1031116
B0012,Benátky-Na oborách,2,FALSE,266,-646715,-1029692
B0013,Benátky-Za Březinou,2,TRUE,272,-647512,-1031514
B0014,Benátky-Na předních stáních,2,TRUE,270,-646417,-1030773
B0015,Bílskou u Hořic-,3,NA,298,-655596,-1022486
B0016,Blato-K Mikulovicím,2,NA,256,-648299.47,-1066299.06
B0017,Bohnice-U Šípků,2,FALSE,294,-741605,-1037768
B0018,Bohnice-sídliště,2,FALSE,276,-743250,-1037756
B0019,Bohnice-Zámka,2,FALSE,251,-743212,-1036421
B0020,Brandýs nad Labem-Královice,2,NA,178,-723259,-1034910
B0021,Brandýs nad Labem-cihelna p. Kejmara,2,NA,216,-725785,-1035289
B0022,Brandýs nad Labem-Hrušov,2,FALSE,200,-725505,-1034924
B0023,Brandýs nad Labem-mezi hřbitovy,1,TRUE,180,-724658,-1034079
B0024,Brandýs nad Labem-Sněženková ul.,2,FALSE,214,-725053,-1035509
B0025,Brandýs nad Labem-U vodojemu,2,FALSE,220,-725594,-1035593
B0026,Brandýs nad Labem-Zápská,2,FALSE,208,-723774,-1035385
B0029,Brázdim-Veliký Brádim,3,NA,204,-729215,-1032936
B0030,Brodce nad Jizerou-,3,NA,200,-707817,-1021444
B0031,Březiněves-Na Hlavní,2,FALSE,254,-737110,-1035254
B0032,Březno u Mladé Boleslavi-Pod vinicí,2,TRUE,236,-696198,-1013974
B0033,Březovice-,2,FALSE,306,-650837,-1024125
B0034,Březovice-Mezi řekami,2,TRUE,306,-651228,-1024882
B0035,Břežany II-Na statku,NA,NA,232,-716514,-1044231
B0036,Bříšťany-Na Parkáně,2,NA,266,-654738,-1029024
B0037,Bříšťany-,2,TRUE,270,-654303,-1028365
