"id","chrono","period"
"B0001","TRB1","p3.8"
"B0006","TRB2","p3.6"
"B0006","TRB2","p3.4"
"B0007","TRB1","p3.8"
"B0010","SBK2","p4.8"
"B0010","TRB1","p3.8"
"B0012","SBK2","p4.8"
"B0016","LgK2","p4.6"
"B0016","LgK2","p4.4"
"B0017","TRB1","p3.8"
"B0018","LgK2","p4.6"
"B0018","LgK2","p4.4"
"B0019","LgK2","p4.6"
"B0019","LgK2","p4.4"
"B0019","TRB1","p3.8"
"B0021","ENE0","p4.4"
"B0021","ENE0","p4.2"
"B0021","ENE0","p4.0"
"B0026","ENE0","p4.4"
"B0026","ENE0","p4.2"
"B0026","ENE0","p4.0"
"B0040","SBK2","p4.8"
"B0041","SBK2","p4.8"
"B0041","LgK2","p4.6"
"B0041","LgK2","p4.4"
"B0043","TRB1","p3.8"
"B0044","SBK2","p4.8"
"B0045","SBK2","p4.8"
"B0046","LgK2","p4.6"
"B0046","LgK2","p4.4"
"B0046","ENE0","p4.4"
"B0046","ENE0","p4.2"
"B0046","ENE0","p4.0"
"B0046","TRB1","p3.8"
"B0054","TRB1","p3.8"
"B0055","ENE0","p4.4"
"B0055","ENE0","p4.2"
"B0055","ENE0","p4.0"
"B0056","LgK2","p4.6"
"B0056","LgK2","p4.4"
"B0058","LgK2","p4.6"
"B0058","LgK2","p4.4"
"B0063","SBK2","p4.8"
"B0064","LgK2","p4.6"
"B0064","LgK2","p4.4"
"B0067","SBK1","p5.0"
"B0067","SBK1","p4.8"
"B0067","LgK2","p4.6"
"B0067","LgK2","p4.4"
"B0067","TRB2","p3.6"
"B0067","TRB2","p3.4"
"B0068","LgK2","p4.6"
"B0068","LgK2","p4.4"
"B0068","TRB1","p3.8"
"B0068","TRB2","p3.6"
"B0068","TRB2","p3.4"
"B0071","LgK2","p4.6"
"B0071","LgK2","p4.4"
"B0073","SBK2","p4.8"
"B0073","ENE0","p4.4"
"B0073","ENE0","p4.2"
"B0073","ENE0","p4.0"
"B0076","SBK2","p4.8"
"B0077","SBK2","p4.8"
"B0078","SBK2","p4.8"
"B0080","ENE0","p4.4"
"B0080","ENE0","p4.2"
"B0080","ENE0","p4.0"
"B0081","ENE0","p4.4"
"B0081","ENE0","p4.2"
"B0081","ENE0","p4.0"
"B0086","SBK1","p5.0"
"B0086","SBK1","p4.8"
"B0088","ENE0","p4.4"
"B0088","ENE0","p4.2"
"B0088","ENE0","p4.0"
"B0092","SBK1","p5.0"
"B0092","SBK1","p4.8"
"B0092","SBK2","p4.8"
"B0093","SBK1","p5.0"
"B0093","SBK1","p4.8"
"B0093","TRB1","p3.8"
"B0093","TRB2","p3.6"
"B0093","TRB2","p3.4"
"B0094","SBK1","p5.0"
"B0094","SBK1","p4.8"
"B0098","SBK1","p5.0"
"B0098","SBK1","p4.8"
"B0101","LgK2","p4.6"
"B0101","LgK2","p4.4"
"B0102","ENE0","p4.4"
"B0102","ENE0","p4.2"
"B0102","ENE0","p4.0"
"B0106","SBK2","p4.8"
"B0109","SBK2","p4.8"
"B0112","TRB2","p3.6"
"B0112","TRB2","p3.4"
"B0114","ENE0","p4.4"
"B0114","ENE0","p4.2"
"B0114","ENE0","p4.0"
"B0117","SBK2","p4.8"
"B0118","LgK2","p4.6"
"B0118","LgK2","p4.4"
"B0120","LgK2","p4.6"
"B0120","LgK2","p4.4"
"B0121","SBK2","p4.8"
"B0124","TRB1","p3.8"
"B0125","TRB1","p3.8"
"B0125","TRB2","p3.6"
"B0125","TRB2","p3.4"
"B0126","ENE0","p4.4"
"B0126","ENE0","p4.2"
"B0126","ENE0","p4.0"
"B0126","TRB1","p3.8"
"B0127","ENE0","p4.4"
"B0127","ENE0","p4.2"
"B0127","ENE0","p4.0"
"B0127","TRB1","p3.8"
"B0127","TRB2","p3.6"
"B0127","TRB2","p3.4"
"B0131","SBK1","p5.0"
"B0131","SBK1","p4.8"
"B0131","LgK2","p4.6"
"B0131","ENE0","p4.4"
"B0131","ENE0","p4.2"
"B0131","ENE0","p4.0"
"B0134","ENE0","p4.4"
"B0134","ENE0","p4.2"
"B0134","ENE0","p4.0"
"B0138","LgK2","p4.6"
"B0138","LgK2","p4.4"
"B0140","LgK2","p4.6"
"B0140","LgK2","p4.4"
"B0142","SBK1","p5.0"
"B0142","SBK1","p4.8"
"B0143","LgK2","p4.6"
"B0143","LgK2","p4.4"
"B0144","SBK2","p4.8"
"B0145","SBK2","p4.8"
"B0146","SBK2","p4.8"
"B0154","ENE0","p4.4"
"B0154","ENE0","p4.2"
"B0154","ENE0","p4.0"
"B0157","SBK1","p5.0"
"B0157","SBK1","p4.8"
"B0159","SBK2","p4.8"
"B0159","LgK2","p4.6"
"B0159","LgK2","p4.4"
"B0162","SBK2","p4.8"
"B0164","SBK2","p4.8"
"B0165","ENE0","p4.4"
"B0165","ENE0","p4.2"
"B0165","ENE0","p4.0"
"B0167","SBK1","p5.0"
"B0167","SBK1","p4.8"
"B0167","SBK2","p4.8"
"B0167","ENE0","p4.4"
"B0167","ENE0","p4.2"
"B0167","ENE0","p4.0"
"B0168","SBK2","p4.8"
"B0169","TRB1","p3.8"
"B0171","SBK2","p4.8"
"B0173","SBK2","p4.8"
"B0174","SBK2","p4.8"
"B0177","SBK1","p5.0"
"B0177","SBK1","p4.8"
"B0178","TRB1","p3.8"
"B0180","LgK2","p4.6"
"B0180","LgK2","p4.4"
"B0181","ENE0","p4.4"
"B0181","ENE0","p4.2"
"B0181","ENE0","p4.0"
"B0182","SBK2","p4.8"
"B0182","TRB1","p3.8"
"B0184","LgK2","p4.6"
"B0184","LgK2","p4.4"
"B0186","ENE0","p4.4"
"B0186","ENE0","p4.2"
"B0186","ENE0","p4.0"
"B0187","SBK2","p4.8"
"B0188","SBK2","p4.8"
"B0189","LgK2","p4.6"
"B0189","LgK2","p4.4"
"B0189","TRB1","p3.8"
"B0191","SBK1","p5.0"
"B0191","SBK1","p4.8"
"B0191","SBK2","p4.8"
"B0192","LgK2","p4.6"
"B0192","LgK2","p4.4"
"B0193","SBK2","p4.8"
"B0193","LgK2","p4.6"
"B0193","LgK2","p4.4"
"B0193","TRB1","p3.8"
"B0194","SBK2","p4.8"
"B0194","LgK2","p4.6"
"B0194","LgK2","p4.4"
"B0195","SBK1","p5.0"
"B0195","SBK1","p4.8"
"B0195","SBK2","p4.8"
"B0196","SBK2","p4.8"
"B0197","TRB1","p3.8"
"B0200","SBK2","p4.8"
"B0201","SBK1","p5.0"
"B0201","SBK1","p4.8"
"B0201","SBK2","p4.8"
"B0201","ENE0","p4.4"
"B0201","ENE0","p4.2"
"B0201","ENE0","p4.0"
"B0202","SBK2","p4.8"
"B0204","LgK2","p4.6"
"B0204","LgK2","p4.4"
"B0204","ENE0","p4.4"
"B0204","ENE0","p4.2"
"B0204","ENE0","p4.0"
"B0204","TRB1","p3.8"
"B0205","LgK2","p4.6"
"B0205","LgK2","p4.4"
"B0206","ENE0","p4.4"
"B0206","ENE0","p4.2"
"B0206","ENE0","p4.0"
"B0208","SBK2","p4.8"
"B0214","SBK1","p5.0"
"B0214","SBK1","p4.8"
"B0215","TRB2","p3.6"
"B0215","TRB2","p3.4"
"B0217","ENE0","p4.4"
"B0217","ENE0","p4.2"
"B0217","ENE0","p4.0"
"B0217","TRB2","p3.6"
"B0217","TRB2","p3.4"
"B0218","TRB2","p3.6"
"B0218","TRB2","p3.4"
"B0221","ENE0","p4.4"
"B0221","ENE0","p4.2"
"B0221","ENE0","p4.0"
"B0222","LgK2","p4.6"
"B0222","LgK2","p4.4"
"B0223","ENE0","p4.4"
"B0223","ENE0","p4.2"
"B0223","ENE0","p4.0"
"B0224","ENE0","p4.4"
"B0224","ENE0","p4.2"
"B0224","ENE0","p4.0"
"B0226","SBK1","p5.0"
"B0226","SBK1","p4.8"
"B0226","SBK2","p4.8"
"B0226","LgK2","p4.6"
"B0226","LgK2","p4.4"
"B0227","SBK1","p5.0"
"B0227","SBK1","p4.8"
"B0227","SBK2","p4.8"
"B0228","SBK2","p4.8"
"B0229","SBK2","p4.8"
"B0229","LgK2","p4.6"
"B0229","LgK2","p4.4"
"B0229","ENE0","p4.4"
"B0229","ENE0","p4.2"
"B0229","ENE0","p4.0"
"B0230","SBK2","p4.8"
"B0230","ENE0","p4.4"
"B0230","ENE0","p4.2"
"B0230","ENE0","p4.0"
"B0232","SBK2","p4.8"
"B0238","TRB1","p3.8"
"B0240","ENE0","p4.4"
"B0240","ENE0","p4.2"
"B0240","ENE0","p4.0"
"B0241","LgK2","p4.6"
"B0241","LgK2","p4.4"
"B0241","ENE0","p4.4"
"B0241","ENE0","p4.2"
"B0241","ENE0","p4.0"
"B0242","SBK2","p4.8"
"B0244","SBK2","p4.8"
"B0244","ENE0","p4.4"
"B0244","ENE0","p4.2"
"B0244","ENE0","p4.0"
"B0248","SBK2","p4.8"
"B0249","SBK1","p5.0"
"B0249","SBK1","p4.8"
"B0249","SBK2","p4.8"
"B0249","ENE0","p4.4"
"B0249","ENE0","p4.2"
"B0249","ENE0","p4.0"
"B0249","TRB1","p3.8"
"B0255","ENE0","p4.4"
"B0255","ENE0","p4.2"
"B0255","ENE0","p4.0"
"B0256","LgK2","p4.6"
"B0256","LgK2","p4.4"
"B0256","ENE0","p4.4"
"B0256","ENE0","p4.2"
"B0256","ENE0","p4.0"
"B0259","SBK1","p5.0"
"B0259","SBK1","p4.8"
"B0262","SBK1","p5.0"
"B0262","SBK1","p4.8"
"B0265","TRB1","p3.8"
"B0265","TRB2","p3.6"
"B0265","TRB2","p3.4"
"B0268","TRB2","p3.6"
"B0268","TRB2","p3.4"
"B0279","LgK2","p4.6"
"B0279","LgK2","p4.4"
"B0279","ENE0","p4.4"
"B0279","ENE0","p4.2"
"B0279","ENE0","p4.0"
"B0281","SBK1","p5.0"
"B0281","SBK1","p4.8"
"B0283","SBK1","p5.0"
"B0283","SBK1","p4.8"
"B0285","SBK2","p4.8"
"B0287","TRB2","p3.6"
"B0287","TRB2","p3.4"
"B0288","LgK2","p4.6"
"B0288","LgK2","p4.4"
"B0288","ENE0","p4.4"
"B0288","ENE0","p4.2"
"B0288","ENE0","p4.0"
"B0289","LgK2","p4.6"
"B0289","LgK2","p4.4"
"B0289","ENE0","p4.4"
"B0289","ENE0","p4.2"
"B0289","ENE0","p4.0"
"B0290","SBK2","p4.8"
"B0291","SBK2","p4.8"
"B0292","SBK1","p5.0"
"B0292","SBK1","p4.8"
"B0293","TRB2","p3.6"
"B0293","TRB2","p3.4"
"B0295","ENE0","p4.4"
"B0295","ENE0","p4.2"
"B0295","ENE0","p4.0"
"B0296","SBK1","p5.0"
"B0296","SBK1","p4.8"
"B0296","SBK2","p4.8"
"B0303","SBK2","p4.8"
"B0306","SBK2","p4.8"
"B0307","SBK2","p4.8"
"B0307","LgK2","p4.6"
"B0307","LgK2","p4.4"
"B0308","SBK2","p4.8"
"B0308","ENE0","p4.4"
"B0308","ENE0","p4.2"
"B0308","ENE0","p4.0"
"B0309","SBK2","p4.8"
"B0311","SBK2","p4.8"
"B0311","LgK2","p4.6"
"B0311","LgK2","p4.4"
