"id","chrono","period"
"B0001","TRB","p3.8"
"B0001","TRB","p3.6"
"B0001","TRB","p3.4"
"B0002","TRB","p3.8"
"B0002","TRB","p3.6"
"B0002","TRB","p3.4"
"B0003","SBK","p5.0"
"B0003","SBK","p4.8"
"B0004","TRB","p3.8"
"B0004","TRB","p3.6"
"B0004","TRB","p3.4"
"B0005","SBK","p5.0"
"B0005","SBK","p4.8"
"B0006","TRB","p3.8"
"B0006","TRB","p3.6"
"B0006","TRB","p3.4"
"B0007","TRB","p3.8"
"B0007","TRB","p3.6"
"B0007","TRB","p3.4"
"B0008","TRB","p3.8"
"B0008","TRB","p3.6"
"B0008","TRB","p3.4"
"B0009","TRB","p3.8"
"B0009","TRB","p3.6"
"B0009","TRB","p3.4"
"B0010","SBK","p5.0"
"B0010","SBK","p4.8"
"B0010","TRB","p3.8"
"B0010","TRB","p3.6"
"B0010","TRB","p3.4"
"B0011","SBK","p5.0"
"B0011","SBK","p4.8"
"B0012","SBK","p5.0"
"B0012","SBK","p4.8"
"B0013","SBK","p5.0"
"B0013","SBK","p4.8"
"B0014","SBK","p5.0"
"B0014","SBK","p4.8"
"B0015","SBK","p5.0"
"B0015","SBK","p4.8"
"B0016","LgK","p4.6"
"B0016","LgK","p4.4"
"B0017","TRB","p3.8"
"B0017","TRB","p3.6"
"B0017","TRB","p3.4"
"B0018","SBK","p5.0"
"B0018","SBK","p4.8"
"B0018","LgK","p4.6"
"B0018","LgK","p4.4"
"B0018","ENE","p4.4"
"B0018","ENE","p4.2"
"B0018","ENE","p4.0"
"B0019","LgK","p4.6"
"B0019","LgK","p4.4"
"B0019","TRB","p3.8"
"B0019","TRB","p3.6"
"B0019","TRB","p3.4"
"B0020","TRB","p3.8"
"B0020","TRB","p3.6"
"B0020","TRB","p3.4"
"B0021","ENE","p4.4"
"B0021","ENE","p4.2"
"B0021","ENE","p4.0"
"B0021","TRB","p3.8"
"B0021","TRB","p3.6"
"B0021","TRB","p3.4"
"B0022","TRB","p3.8"
"B0022","TRB","p3.6"
"B0022","TRB","p3.4"
"B0023","SBK","p5.0"
"B0023","SBK","p4.8"
"B0024","TRB","p3.8"
"B0024","TRB","p3.6"
"B0024","TRB","p3.4"
"B0025","TRB","p3.8"
"B0025","TRB","p3.6"
"B0025","TRB","p3.4"
"B0026","ENE","p4.4"
"B0026","ENE","p4.2"
"B0026","ENE","p4.0"
"B0029","TRB","p3.8"
