"ref_id","reference"
"Ref0001","-JT-1120"
"Ref0002","-JT-1149"
"Ref0003","-JT-1156"
"Ref0004","-JT-1209"
"Ref0005","-JT-1210"
"Ref0006","-JT-1211"
"Ref0007","-JT-1213"
"Ref0008","-JT-1261"
"Ref0009","-JT-5085"
"Ref0010","-JT-5138"
"Ref0011","-JT-5144"
"Ref0012","-JT-7058"
"Ref0013","-JT-7063"
"Ref0014","-JT-7066"
"Ref0015","-JT-7067"
"Ref0016","-JT-7070"
"Ref0017","-JT-7083"
"Ref0018","-JT-7095"
"Ref0019","-JT-7096"
"Ref0020","-JT-7101"
"Ref0021","-JT-7207"
"Ref0022","-JT-7208"
"Ref0023","-JT-7209"
"Ref0024","-JT-7300"
"Ref0025","-JT-7303"
"Ref0026","-JT-7304"
"Ref0027","-JT-7305"
"Ref0028","-JT-7306"
"Ref0029","-JT-7307"
"Ref0030","-JT-7308"
"Ref0031","AA1023"
"Ref0032","AA1070"
"Ref0033","AA1185"
"Ref0034","AA1211"
"Ref0035","AA1217"
"Ref0036","AA1225"
"Ref0037","AA1245"
"Ref0038","AA1479"
"Ref0039","AA1496"
"Ref0040","AA1500"
"Ref0041","AA7004"
"Ref0042","AA7006"
"Ref0043","Achter, D. 2015: KG Ebendorf. Fundberichte aus Österreich 54, 189-190."
"Ref0044","Adámek, F. 1940: Příspěvek k archeologickému výzkumu neolitické stanice na Holém kopci u Brna. Příroda XXXIII, 298-305."
"Ref0045","Adámek, F. undated: Obřany. Excavation report č.j. 1262/10. Institute of Archaeology of the CAS Brno."
"Ref0046","ADC-06767"
"Ref0047","ADC-06769"
"Ref0048","ADC-09830"
"Ref0049","ADC-09862"
"Ref0050","ADC-09871"
"Ref0051","ADC-10046"
"Ref0052","ADC-10049"
"Ref0053","ADC-10050"
"Ref0054","ADC-10093"
"Ref0055","ADC-10106"
"Ref0056","ADC-10114"
"Ref0057","ADC-10147"
"Ref0058","ADC-11001"
"Ref0059","ADC-11228"
"Ref0060","ADC-11236"
"Ref0061","ADC-11251"
"Ref0062","ADC-11261"
"Ref0063","ADC-11316"
"Ref0064","ADC-11332"
"Ref0065","ADC-11360"
"Ref0066","ADC-11394"
"Ref0067","ADC-11612"
"Ref0068","ADC-11628"
"Ref0069","ADC-11632"
"Ref0070","ADC-11693"
"Ref0071","ADC-11713"
"Ref0072","ADC-11717"
"Ref0073","ADC-11718"
"Ref0074","ADC-11721"
"Ref0075","ADC-11725"
"Ref0076","ADC-11730"
"Ref0077","ADC-11760"
"Ref0078","ADC-11769"
"Ref0079","ADC-11773"
"Ref0080","ADC-11789"
"Ref0081","ADC-11806"
"Ref0082","ADC-12161"
"Ref0083","ADC-12163"
"Ref0084","ADC-12166"
"Ref0085","ADC-12745"
"Ref0086","ADC-14538"
"Ref0087","ADC-14633"
"Ref0088","ADC-14781"
"Ref0089","ADC-14782"
"Ref0090","ADC-15172"
"Ref0091","ADC-15236"
"Ref0092","ADC-15306"
"Ref0093","ADC-15335"
"Ref0094","ADC-15350"
"Ref0095","ADC-15388"
"Ref0096","ADC-15389"
"Ref0097","ADC-15452"
"Ref0098","ADC-15491"
"Ref0099","ADC-15497"
"Ref0100","ADC-15505"
"Ref0101","ADC-15516"
"Ref0102","ADC-15534"
"Ref0103","ADC-15535"
"Ref0104","ADC-15536"
"Ref0105","ADC-15547"
"Ref0106","ADC-15696"
"Ref0107","ADC-15703"
"Ref0108","ADC-15705"
"Ref0109","ADC-15706"
"Ref0110","ADC-15728"
"Ref0111","ADC-15744"
"Ref0112","ADC-15774"
"Ref0113","ADC-15790"
"Ref0114","ADC-15791"
"Ref0115","ADC-15792"
"Ref0116","ADC-15796"
"Ref0117","ADC-15841"
"Ref0118","ADC-15872"
"Ref0119","ADC-15875"
"Ref0120","ADC-15877"
"Ref0121","ADC-15880"
"Ref0122","ADC-15889"
"Ref0123","ADC-15890"
"Ref0124","ADC-15892"
"Ref0125","ADC-15925"
"Ref0126","ADC-15929"
"Ref0127","ADC-15932"
"Ref0128","ADC-15994"
"Ref0129","ADC-16026"
"Ref0130","ADC-16114"
"Ref0131","ADC-16123"
"Ref0132","ADC-16148"
"Ref0133","ADC-16151"
"Ref0134","ADC-16214"
"Ref0135","ADC-16216"
"Ref0136","ADC-16223"
"Ref0137","ADC-16245"
"Ref0138","ADC-16396"
"Ref0139","ADC-16469"
"Ref0140","ADC-16470"
"Ref0141","ADC-16473"
"Ref0142","ADC-16474"
"Ref0143","ADC-16476"
"Ref0144","ADC-16480"
"Ref0145","ADC-16488"
"Ref0146","ADC-16501"
"Ref0147","ADC-16503"
"Ref0148","ADC-16508"
"Ref0149","ADC-16511"
"Ref0150","ADC-16512"
"Ref0151","ADC-16518"
"Ref0152","ADC-16983"
"Ref0153","ADC-17157"
"Ref0154","ADC-17178"
"Ref0155","ADC-17198"
"Ref0156","ADC-17202"
"Ref0157","ADC-17236"
"Ref0158","ADC-17390"
"Ref0159","ADC-17391"
"Ref0160","ADC-17393"
"Ref0161","ADC-17420"
"Ref0162","ADC-30109"
"Ref0163","ADC-30175"
"Ref0164","ADC-30431"
"Ref0165","ADC-31095"
"Ref0166","ADC-31378"
"Ref0167","ADC-31395"
"Ref0168","ADC-31501"
"Ref0169","Adler, H. 1992: KG Bernhardsthal. Fundberichte aus Österreich 31, 389"
"Ref0170","Adler, H. Kienzl, A. 1988: KG Prinzendorf. Fundberichte aus Österreich 27, 266"
"Ref0171","AMČR: Záznam P-0333-000016 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0333-000016."
"Ref0172","AMČR: Záznam P-0333-000024 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0333-000024."
"Ref0173","AMČR: Záznam P-0333-000044 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0333-000044."
"Ref0174","AMČR: Záznam P-0333-000082 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0333-000082."
"Ref0175","AMČR: Záznam P-0333-000122 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0333-000122."
"Ref0176","AMČR: Záznam P-0334-000093 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0334-000093."
"Ref0177","AMČR: Záznam P-0334-000137 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0334-000137."
"Ref0178","AMČR: Záznam P-0334-000152 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0334-000152."
"Ref0179","AMČR: Záznam P-0334-000198 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0334-000198."
"Ref0180","AMČR: Záznam P-0334-000250 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0334-000250."
"Ref0181","AMČR: Záznam P-0334-000266 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0334-000266."
"Ref0182","AMČR: Záznam P-0334-000270 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0334-000270."
"Ref0183","AMČR: Záznam P-0334-000274 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0334-000274."
"Ref0184","AMČR: Záznam P-0334-000326 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0334-000326."
"Ref0185","AMČR: Záznam P-0334-000343 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0334-000343."
"Ref0186","AMČR: Záznam P-0334-000345 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0334-000345."
"Ref0187","AMČR: Záznam P-0334-000364 [cit. 2021-04-14]. Archeologická mapa České republiky. Dostupné z: https://digiarchiv.aiscr.cz/id/P-0334-000364."
