"id","orig_id","site"
"B0001",NA,"Bačalky-"
"B0002","PD-JC-1300; ADC-15728","Bašnice-Potvrzník"
"B0003","PD-JC-1004","Bašnice-Potvrzník"
"B0004","P-1224-01250","Bašť-Nová Bašť"
"B0005","P-1224-01151","Běchovice-V panenkách"
"B0006","P-1224-01103; P-1224-01106","Běchovice-Nad vodárnou"
"B0007","P-1224-01096","Běchovice-Za homolí"
"B0008","P-1224-01157; ADC-12745","Běchovice-pískovna"
"B0009","SM-10006","Bělá u Turnova-Dvojitá brána"
"B0010","HK-1006; P-1322-00001; P-1322-00043","Benátky-Na Trubačce"
"B0011","ADC-15929; P-1322-00040","Benátky-"
"B0012",NA,"Benátky-Na oborách"
"B0013","P-1322-00044","Benátky-Za Březinou"
"B0014","P-1322-00153","Benátky-Na předních stáních"
"B0015",NA,"Bílskou u Hořic-"
"B0016",NA,"Blato-K Mikulovicím"
"B0017",NA,"Bohnice-U Šípků"
"B0018","AA1171","Bohnice-sídliště"
"B0019",NA,"Bohnice-Zámka"
"B0020","ADC-15236","Brandýs nad Labem-Královice"
"B0021","ADC-11394","Brandýs nad Labem-cihelna p. Kejmara"
"B0022","P-1224-01296","Brandýs nad Labem-Hrušov"
"B0023","ADC-10899","Brandýs nad Labem-mezi hřbitovy"
"B0024",NA,"Brandýs nad Labem-Sněženková ul."
"B0025","P-1224-01415","Brandýs nad Labem-U vodojemu"
"B0026","P-1313-01140","Brandýs nad Labem-Zápská"
"B0029","AN – 1023","Brázdim-Veliký Brádim"
"B0030",NA,"Brodce nad Jizerou-"
"B0031","P-1224-01586","Březiněves-Na Hlavní"
"B0032","P-0334-00270","Březno u Mladé Boleslavi-Pod vinicí"
"B0033","PD-JC-1019","Březovice-"
"B0034","PD-JC-1021","Březovice-Mezi řekami"
"B0035","ADC-15497","Břežany II-Na statku"
"B0036","PD-JC-1024","Bříšťany-Na Parkáně"
"B0037","PD-JC-1023","Bříšťany-"
"B0038","P-0334-00093","Bukvice-východní okraj obce"
"B0039","ADC-15524","Bylany u Českého Brodu-Klečky"
"B0040","ADC-30109","Bylany u Českého Brodu-Okrouhlík"
"B0041",NA,"Bylany u Kutné Hory-1"
"B0042",NA,"Bylany u Kutné Hory-2"
"B0043",NA,"Bylany u Kutné Hory-3"
"B0044",NA,"Bylany u Kutné Hory-4"
"B0045",NA,"Bylany u Kutné Hory-5"
"B0046",NA,"Bylany u Kutné Hory-Nade vsí"
"B0047","ADC-15172","Bystřice-V bahnech"
"B0048","ADC-06769","Bystřice-Nad Bahny"
"B0049",NA,"Cerekvice nad Bystřicí-Za Lužním mlýnem"
"B0050","P-1322-00063","Cerekvice nad Bystřicí-Na kozách"
"B0051","P-1431-00055","Cerekvice nad Loučnou-"
"B0052","DV8007; P-1431-00275","Cerekvice nad Loučnou-zemědělské družstvo"
"B0053","KO_OS_5001","Cerhenice-Za dráhou"
"B0054","P-1314-00132","Cernenice-Za oborou"
"B0055","P-1431-00275","Cerhenice-U cukrovaru"
"B0056",NA,"Církvice u Kutné Hory-Nad vsí"
"B0057","KH-MA-1103","Církvice u Kutné Hory-Cihelna"
"B0058",NA,"Černá za Bory-Žižín"
"B0059","ADC-11005","Čakovice-Kostelecká ul."
"B0060","ADC-11693","Čakovice-"
"B0061","P-1341-00425; P-1341-00414; P-1341-00416","Čáslav-Nový Čeplov"
"B0062","P-1341-00325","Čáslav-U hřbitova"
"B0063","P-1341-00178","Čáslav-Na skále"
"B0064","P-1341-00216; KH-MA-1156","Čáslav-Kalabousek"
"B0065","P-1341-00121","Čáslav-Staré město"
"B0066","KH-MA-1149","Čáslav-Ke Koudelovu"
"B0067","KH-MA-1154","Čáslav-Svornost"
"B0068","ADC-30119","Čáslav-Hrádek"
"B0069","ADC-15774; NA-JT-7207; NA-JT-7208; NA-JT-7209; NA-JT-7300","Čáslavky-"
"B0070","NA-JT-7304; NA-JT-7303","Čáslavky-cihelna"
"B0071","P-1313-00654","Čelákovice-J.A. Komenského"
"B0072","P-1313-01235; P-1313-01199","Čelákovice-V Rybníčkách"
"B0073","P-1313-00614","Čelákovice-býv. Švejdova cihelna"
"B0074","P-1313-00615","Čelákovice-S.K. Neumanna"
"B0075","AN – 1090","Čenkov-kamenolom"
"B0076","P-1322-00106; ADC-15889; ADC-15889; P-1322-00182","Černožice nad Labem-konzervárna"
"B0077","OS_HK_7044; P-1322-00366; ADC-15841; HK-1042; HK-1030; HK-1035","Černožice nad Labem-Gen. Svobody"
"B0078","HK-1040","Černožice nad Labem-Čáslavky"
"B0079","HK-1034","Černožice nad Labem-železnice"
"B0080",NA,"Černý Most-jižně od Chlumecké ul."
"B0081","ADC-16488","Červené Pečky-Parkán"
"B0082","JV-1031","Červené Pečky-U nádraží"
"B0083","ADC-16480","Červené Pečky-U panského ovčína"
"B0084","ADC-15516","Český Brod-K Dolankám"
"B0085",NA,"Český Brod-Klímova cihelna"
"B0086","ADC-30143","Češov-Češovské valy"
"B0087","P-1322-00163","Číbuz-"
